,customer_id,created_date,first_name,last_name,email,address,latitude,longitude,city,state,country,customer_type,gender,age
0,1,2022-03-30 15:25:18,Nojus,Benas,Nojus.Benas@email.lt,"Ramybės, 93 - 94, Anykščiai, Anykščiai, Lietuva",55.5344,25.1072,Anykščiai,Anykščiai,Lietuva,person,boy,43
1,2,2022-12-12 13:19:03,Emilija,Gabija,Emilija.Gabija@email.lt,"Spandotų, 94 - 99, Kretinga, Kretinga, Lietuva",55.8758,21.2508,Kretinga,Kretinga,Lietuva,person,girl,74
2,3,2022-12-14 01:17:13,Amelia,Amelia,Amelia.Amelia@email.lt,"Plomėnų, 9 - 75, Ukmergė, Ukmergė, Lietuva",55.2667,24.75,Ukmergė,Ukmergė,Lietuva,person,girl,62
3,4,2022-01-06 05:26:45,Austėja,Viltė,Austėja.Viltė@email.lt,"Gėlių 1-asis, 5 - 23, Drąsučiai, Šiauliai, Lietuva",56.033,22.981,Drąsučiai,Šiauliai,Lietuva,person,girl,25
4,5,2022-04-24 17:19:04,Nojus,Benas,Nojus.Benas@email.lt,"Sausoji, 37 - 14, Domeikava, Kaunas, Lietuva",54.9667,23.9167,Domeikava,Kaunas,Lietuva,person,boy,30
5,6,2021-07-28 11:05:22,Amelia,Lėja,Amelia.Lėja@email.lt,"Kryžiokų Sodų 3-ioji, 43 - 5, Ukmergė, Ukmergė, Lietuva",55.2667,24.75,Ukmergė,Ukmergė,Lietuva,person,girl,67
6,7,2022-03-23 14:46:21,Austėja,Ema,Austėja.Ema@email.lt,"Užuovėjos Sodų 1-oji, 76 - 53, Švenčionėliai, Švenčionys, Lietuva",55.1667,26.0,Švenčionėliai,Švenčionys,Lietuva,person,girl,29
7,8,2021-11-01 13:51:14,Nojus,Domas,Nojus.Domas@email.lt,"Elnio, 90 - 66, Matuizos, Varėna, Lietuva",54.2833,24.6833,Matuizos,Varėna,Lietuva,person,boy,84
8,9,2021-08-08 08:50:35,Aronas,Aronas,Aronas.Aronas@email.lt,"Mileišiškių Sodų 11-oji, 5 - 30, Šalčininkai, Šalčininkai, Lietuva",54.3111,25.3806,Šalčininkai,Šalčininkai,Lietuva,person,boy,18
9,10,2021-03-18 07:59:27,Gabrielė,Ema,Gabrielė.Ema@email.lt,"Gaidūnų, 27 - 56, Tauragė, Tauragė, Lietuva",55.2514,22.2903,Tauragė,Tauragė,Lietuva,person,girl,72
10,11,2022-11-07 03:39:51,Kajus,Domas,Kajus.Domas@email.lt,"A. Kulviečio, 7 - 22, Pagiriai, Vilnius, Lietuva",54.5789,25.1983,Pagiriai,Vilnius,Lietuva,person,boy,38
11,12,2022-08-29 00:22:05,Daniel,Kajus,Daniel.Kajus@email.lt,"Ramonų, 7 - 53, Ariogala, Raseiniai, Lietuva",55.2639,23.4694,Ariogala,Raseiniai,Lietuva,person,boy,71
12,13,2022-10-08 16:42:35,Lukas,Matas,Lukas.Matas@email.lt,"Iždo, 69 - 52, Druskininkai, Druskininkai, Lietuva",54.0206,23.9725,Druskininkai,Druskininkai,Lietuva,person,boy,92
13,14,2022-02-14 22:32:46,Danielius,Dominykas,Danielius.Dominykas@email.lt,"Neknupio, 55 - 66, Domeikava, Kaunas, Lietuva",54.9667,23.9167,Domeikava,Kaunas,Lietuva,person,boy,67
14,15,2021-05-06 12:03:05,Aronas,Domas,Aronas.Domas@email.lt,"Krimslės, 100 - 63, Dovilai, Klaipėda, Lietuva",55.6778,21.3556,Dovilai,Klaipėda,Lietuva,person,boy,58
15,16,2021-08-24 19:22:38,Milana,Kamilė,Milana.Kamilė@email.lt,"Čartoriskių, 7 - 15, Šilalė, Šilalė, Lietuva",55.4917,22.1778,Šilalė,Šilalė,Lietuva,person,girl,49
16,17,2022-02-04 22:00:45,Kamilė,Lėja,Kamilė.Lėja@email.lt,"Vakaro 11-oji, 9 - 50, Švėkšna, Šilutė, Lietuva",55.5167,21.6278,Švėkšna,Šilutė,Lietuva,person,girl,34
17,18,2022-04-29 02:54:28,Viltė,Austėja,Viltė.Austėja@email.lt,"Baldininkų 6-asis, 46 - 40, Didžioji Reišė, Vilniaus Apskritis, Lietuva",54.8028,25.2639,Didžioji Reišė,Vilniaus Apskritis,Lietuva,person,girl,55
18,19,2021-04-11 19:35:01,Lukas,Lukas,Lukas.Lukas@email.lt,"Smiltelės 3-ioji, 56 - 24, Galgiai, Vilnius, Lietuva",54.725,25.412,Galgiai,Vilnius,Lietuva,person,boy,49
19,20,2021-03-02 09:46:19,Domas,Kajus,Domas.Kajus@email.lt,"Linkūnų, 83 - 48, Karmėlava II, Kaunas, Lietuva",54.975,24.075,Karmėlava II,Kaunas,Lietuva,person,boy,57
20,21,2022-04-19 09:10:59,Gabija,Kamilė,Gabija.Kamilė@email.lt,"Berželio Sodų 2-oji, 87 - 40, Kairiai, Šiauliai, Lietuva",55.9167,23.4389,Kairiai,Šiauliai,Lietuva,person,girl,53
21,22,2021-03-17 09:30:51,Austėja,Kamilė,Austėja.Kamilė@email.lt,"Bausko, 8 - 36, Teleičiai, Kaunas, Lietuva",54.844,23.883,Teleičiai,Kaunas,Lietuva,person,girl,26
22,23,2021-07-28 20:38:51,Danielius,Nojus,Danielius.Nojus@email.lt,"Narvydiškio, 28 - 87, Gineitiškės, Vilnius, Lietuva",54.739,25.2,Gineitiškės,Vilnius,Lietuva,person,boy,61
23,24,2021-08-30 09:51:39,Emilija,Kamilė,Emilija.Kamilė@email.lt,"Kemetiškių, 74 - 96, Rokiškis, Rokiškis, Lietuva",55.9616,25.5807,Rokiškis,Rokiškis,Lietuva,person,girl,51
24,25,2021-11-26 22:01:19,Viltė,Kamilė,Viltė.Kamilė@email.lt,"Davainiškio, 56 - 85, Vidiškės, Ignalina, Lietuva",55.375,26.2111,Vidiškės,Ignalina,Lietuva,person,girl,91
25,26,2022-04-17 19:40:25,Emilija,Gabrielė,Emilija.Gabrielė@email.lt,"Griškabūdžio, 48 - 99, Josvainiai, Kėdainiai, Lietuva",55.25,23.8333,Josvainiai,Kėdainiai,Lietuva,person,girl,48
26,27,2021-04-01 10:28:00,Domas,Aronas,Domas.Aronas@email.lt,"I. Masalskio, 73 - 76, Padvariai, Kretinga, Lietuva",55.9083,21.2833,Padvariai,Kretinga,Lietuva,person,boy,90
27,28,2021-02-06 23:58:14,Amelia,Viltė,Amelia.Viltė@email.lt,"Dainavos 13-oji, 83 - 47, Josvainiai, Kėdainiai, Lietuva",55.25,23.8333,Josvainiai,Kėdainiai,Lietuva,person,girl,50
28,29,2022-10-03 20:43:23,Austėja,Emilija,Austėja.Emilija@email.lt,"Gijos 15-oji, 54 - 93, Šakiai, Šakiai, Lietuva",54.9556,23.0444,Šakiai,Šakiai,Lietuva,person,girl,20
29,30,2021-09-27 03:27:25,Viltė,Milana,Viltė.Milana@email.lt,"Jonėnų, 41 - 35, Pabradė, Švenčionys, Lietuva",54.9806,25.7667,Pabradė,Švenčionys,Lietuva,person,girl,24
30,31,2022-06-10 14:09:28,Gabrielė,Austėja,Gabrielė.Austėja@email.lt,"A. Paškevič-Ciotkos, 57 - 59, Plateliai, Plungė, Lietuva",56.05,21.8167,Plateliai,Plungė,Lietuva,person,girl,21
31,32,2022-12-30 12:06:02,Matas,Danielius,Matas.Danielius@email.lt,"Paringio, 87 - 80, Rudamina, Vilnius, Lietuva",54.5972,25.35,Rudamina,Vilnius,Lietuva,person,boy,21
32,33,2021-08-01 16:55:01,Emilija,Ema,Emilija.Ema@email.lt,"Ivaniškių Sodų 3-ioji, 97 - 66, Miklusėnai, Alytus, Lietuva",54.4417,23.9972,Miklusėnai,Alytus,Lietuva,person,girl,84
33,34,2022-02-22 19:23:18,Ema,Emilija,Ema.Emilija@email.lt,"Tyrų Pelkės, 99 - 48, Pagiriai, Vilnius, Lietuva",54.5789,25.1983,Pagiriai,Vilnius,Lietuva,person,girl,56
34,35,2021-12-29 17:30:04,Kajus,Kajus,Kajus.Kajus@email.lt,"Peršėkės, 51 - 84, Ylakiai, Skuodas, Lietuva",56.278,21.8566,Ylakiai,Skuodas,Lietuva,person,boy,79
35,36,2022-05-27 15:46:45,Danielius,Domas,Danielius.Domas@email.lt,"Dubių, 29 - 96, Varėna, Varėna, Lietuva",54.2111,24.5722,Varėna,Varėna,Lietuva,person,boy,30
36,37,2022-08-24 16:11:35,Aronas,Lukas,Aronas.Lukas@email.lt,"Vingrių, 32 - 87, Jonava, Jonava, Lietuva",55.0722,24.2806,Jonava,Jonava,Lietuva,person,boy,25
37,38,2022-02-08 04:00:09,Ema,Milana,Ema.Milana@email.lt,"Vydautiškių, 13 - 36, Švenčionėliai, Švenčionys, Lietuva",55.1667,26.0,Švenčionėliai,Švenčionys,Lietuva,person,girl,97
38,39,2022-02-19 16:03:08,Kamilė,Ema,Kamilė.Ema@email.lt,"Gvazdikų Sodų 1-oji, 26 - 4, Švenčionys, Švenčionys, Lietuva",55.1333,26.1556,Švenčionys,Švenčionys,Lietuva,person,girl,24
39,40,2022-06-24 14:59:17,Benas,Nojus,Benas.Nojus@email.lt,"Metalistų, 63 - 90, Utena, Utena, Lietuva",55.5,25.6028,Utena,Utena,Lietuva,person,boy,75
40,41,2023-01-01 14:30:13,Kamilė,Gabija,Kamilė.Gabija@email.lt,"Pasnietalio, 1 - 20, Nida, Neringa, Lietuva",55.304,21.0053,Nida,Neringa,Lietuva,person,girl,46
41,42,2022-05-08 02:11:07,Kajus,Matas,Kajus.Matas@email.lt,"Juodelių, 19 - 34, Babtai, Kaunas, Lietuva",55.0917,23.7944,Babtai,Kaunas,Lietuva,person,boy,98
42,43,2021-09-09 13:47:23,Benas,Dominykas,Benas.Dominykas@email.lt,"Paslaugos 1-oji, 11 - 66, Naujoji Akmenė, Akmenė, Lietuva",56.325,22.8833,Naujoji Akmenė,Akmenė,Lietuva,person,boy,31
43,44,2021-01-17 17:36:34,Kajus,Domas,Kajus.Domas@email.lt,"Lelijos Sodų 10-oji, 59 - 60, Viduklė, Raseiniai, Lietuva",55.4028,22.8972,Viduklė,Raseiniai,Lietuva,person,boy,21
44,45,2021-07-03 23:39:28,Dominykas,Matas,Dominykas.Matas@email.lt,"Žydrynės, 83 - 99, Mažeikiai, Mažeikiai, Lietuva",56.3111,22.3361,Mažeikiai,Mažeikiai,Lietuva,person,boy,18
